latitude,longitude,Dsecond
296125324.0,-823580222.0,16600.0
296125389.0,-823580069.0,16700.0
296125500.0,-823579840.0,16850.0
296125567.0,-823579688.0,16950.0
296125633.0,-823579535.0,17050.0
296125667.0,-823579458.0,17100.0
296125767.0,-823579229.0,17250.0
296125830.0,-823579063.0,17350.0
296125896.0,-823578907.0,17450.0
296125993.0,-823578674.0,17600.0
296126058.0,-823578518.0,17700.0
296126125.0,-823578354.0,17800.0
296126190.0,-823578196.0,17900.0
296126254.0,-823578038.0,18000.0
296126286.0,-823577959.0,18050.0
296126381.0,-823577722.0,18200.0
296126458.0,-823577558.0,18300.0
296126523.0,-823577398.0,18400.0
296126589.0,-823577238.0,18500.0
296126654.0,-823577078.0,18600.0
296126719.0,-823576918.0,18700.0
296126751.0,-823576838.0,18750.0
296126850.0,-823576586.0,18900.0
296126915.0,-823576423.0,19000.0
296126947.0,-823576342.0,19050.0
296127043.0,-823576098.0,19200.0
296127121.0,-823575930.0,19300.0
296127154.0,-823575847.0,19350.0
296127253.0,-823575601.0,19500.0
296127286.0,-823575519.0,19550.0
296127385.0,-823575272.0,19700.0
296127451.0,-823575099.0,19800.0
296127517.0,-823574932.0,19900.0
296127582.0,-823574766.0,20000.0
296127648.0,-823574599.0,20100.0
296127713.0,-823574432.0,20200.0
296127786.0,-823574264.0,20300.0
296127852.0,-823574096.0,20400.0
296127919.0,-823573929.0,20500.0
296127952.0,-823573845.0,20550.0
296128052.0,-823573594.0,20700.0
296128125.0,-823573427.0,20800.0
296128159.0,-823573343.0,20850.0
296128261.0,-823573091.0,21000.0
296128295.0,-823573008.0,21050.0
296128397.0,-823572756.0,21200.0
296128431.0,-823572673.0,21250.0
296128516.0,-823572411.0,21400.0
296128581.0,-823572241.0,21500.0
296128646.0,-823572071.0,21600.0
296128710.0,-823571901.0,21700.0
296128785.0,-823571739.0,21800.0
296128851.0,-823571570.0,21900.0
296128917.0,-823571401.0,22000.0
296128983.0,-823571232.0,22100.0
296129049.0,-823571063.0,22200.0
296129101.0,-823570889.0,22300.0
296129133.0,-823570804.0,22350.0
296129195.0,-823570633.0,22450.0
296129256.0,-823570462.0,22550.0
296129348.0,-823570205.0,22700.0
296129379.0,-823570119.0,22750.0
296129491.0,-823569864.0,22900.0
296129522.0,-823569778.0,22950.0
296129618.0,-823569520.0,23100.0
296129682.0,-823569348.0,23200.0
296129740.0,-823569170.0,23300.0
296129802.0,-823568997.0,23400.0
296129864.0,-823568823.0,23500.0
296129925.0,-823568650.0,23600.0
296129986.0,-823568476.0,23700.0
296130067.0,-823568316.0,23800.0
296130132.0,-823568145.0,23900.0
296130197.0,-823567974.0,24000.0
296130263.0,-823567803.0,24100.0
296130329.0,-823567632.0,24200.0
296130374.0,-823567447.0,24300.0
296130435.0,-823567273.0,24400.0
296130496.0,-823567099.0,24500.0
296130556.0,-823566925.0,24600.0
296130616.0,-823566750.0,24700.0
296130676.0,-823566573.0,24800.0
296130735.0,-823566397.0,24900.0
296130794.0,-823566222.0,25000.0
296130852.0,-823566046.0,25100.0
296130910.0,-823565870.0,25200.0
296130981.0,-823565694.0,25300.0
296131011.0,-823565606.0,25350.0
296131102.0,-823565341.0,25500.0
296131162.0,-823565165.0,25600.0
296131222.0,-823564989.0,25700.0
296131273.0,-823564809.0,25800.0
296131331.0,-823564632.0,25900.0
296131389.0,-823564454.0,26000.0
296131418.0,-823564365.0,26050.0
296131503.0,-823564098.0,26200.0
296131559.0,-823563915.0,26300.0
296131616.0,-823563736.0,26400.0
296131644.0,-823563647.0,26450.0
296131700.0,-823563468.0,26550.0
296131784.0,-823563199.0,26700.0
296131904.0,-823562836.0,26900.0
296131961.0,-823562656.0,27000.0
296132018.0,-823562476.0,27100.0
296132075.0,-823562296.0,27200.0
296132134.0,-823562111.0,27300.0
296132191.0,-823561931.0,27400.0
296132219.0,-823561840.0,27450.0
296132305.0,-823561569.0,27600.0
296132362.0,-823561388.0,27700.0
296132390.0,-823561298.0,27750.0
296132448.0,-823561110.0,27850.0
296132505.0,-823560928.0,27950.0
296132563.0,-823560747.0,28050.0
296132649.0,-823560475.0,28200.0
296132703.0,-823560286.0,28300.0
296132759.0,-823560104.0,28400.0
296132816.0,-823559921.0,28500.0
296132873.0,-823559739.0,28600.0
296132929.0,-823559556.0,28700.0
296132979.0,-823559363.0,28800.0
296133033.0,-823559178.0,28900.0
296133088.0,-823558994.0,29000.0
296133142.0,-823558809.0,29100.0
296133195.0,-823558625.0,29200.0
