latitude,longitude,Dsecond
296238725.0,-823381784.0,55500.0
296238725.0,-823381784.0,55650.0
296238725.0,-823381784.0,55750.0
296238725.0,-823381784.0,55800.0
296238727.0,-823381786.0,55899.0
296238727.0,-823381786.0,56000.0
296238727.0,-823381786.0,56100.0
296238727.0,-823381786.0,56200.0
296238729.0,-823381788.0,56299.0
296238729.0,-823381788.0,56400.0
296238729.0,-823381788.0,56500.0
296238729.0,-823381788.0,56600.0
296238729.0,-823381788.0,56750.0
296238731.0,-823381789.0,56799.0
296238731.0,-823381789.0,56950.0
296238731.0,-823381789.0,57000.0
296238731.0,-823381789.0,57100.0
296238732.0,-823381789.0,57200.0
296238733.0,-823381791.0,57299.0
296238733.0,-823381791.0,57400.0
296238733.0,-823381791.0,57500.0
296238733.0,-823381791.0,57600.0
296238734.0,-823381791.0,57700.0
296238734.0,-823381791.0,57800.0
296238735.0,-823381793.0,57899.0
296238735.0,-823381793.0,58000.0
296238735.0,-823381793.0,58100.0
296238735.0,-823381793.0,58250.0
296238735.0,-823381796.0,58349.0
296238735.0,-823381796.0,58399.0
296238735.0,-823381796.0,58550.0
296238735.0,-823381796.0,58650.0
296238735.0,-823381796.0,58700.0
296238735.0,-823381796.0,58800.0
296238735.0,-823381800.0,58899.0
296238736.0,-823381800.0,59000.0
296238736.0,-823381800.0,59100.0
296238736.0,-823381800.0,59200.0
296238736.0,-823381803.0,59349.0
296238736.0,-823381803.0,59349.0
296238736.0,-823381803.0,59500.0
296238736.0,-823381803.0,59600.0
296238736.0,-823381803.0,59700.0
296238736.0,-823381808.0,59849.0
296238736.0,-823381808.0,59849.0
296238736.0,-823381808.0,100.0
296238736.0,-823381808.0,250.0
296238736.0,-823381808.0,300.0
296238736.0,-823381808.0,399.0
296238735.0,-823381814.0,500.0
296238735.0,-823381814.0,550.0
296238735.0,-823381814.0,700.0
296238735.0,-823381814.0,799.0
296238735.0,-823381820.0,900.0
296238735.0,-823381820.0,1000.0
296238734.0,-823381820.0,1200.0
296238734.0,-823381821.0,1349.0
296238732.0,-823381825.0,1400.0
296238732.0,-823381825.0,1500.0
296238732.0,-823381825.0,1600.0
296238732.0,-823381825.0,1700.0
296238732.0,-823381825.0,1899.0
296238732.0,-823381833.0,2000.0
296238732.0,-823381833.0,2100.0
296238732.0,-823381833.0,2200.0
296238732.0,-823381833.0,2300.0
296238732.0,-823381833.0,2399.0
296238733.0,-823381843.0,2500.0
296238733.0,-823381843.0,2650.0
296238733.0,-823381843.0,2700.0
296238732.0,-823381843.0,2799.0
296238734.0,-823381854.0,2900.0
296238734.0,-823381854.0,3000.0
296238734.0,-823381854.0,3100.0
296238734.0,-823381854.0,3300.0
296238734.0,-823381854.0,3399.0
296238734.0,-823381863.0,3500.0
296238734.0,-823381863.0,3550.0
296238734.0,-823381863.0,3700.0
296238734.0,-823381863.0,3800.0
296238734.0,-823381863.0,3899.0
296238735.0,-823381875.0,4000.0
296238735.0,-823381875.0,4100.0
296238735.0,-823381875.0,4200.0
296238735.0,-823381875.0,4299.0
296238736.0,-823381884.0,4400.0
296238736.0,-823381885.0,4500.0
296238736.0,-823381885.0,4600.0
296238736.0,-823381885.0,4700.0
296238735.0,-823381885.0,4799.0
296238736.0,-823381893.0,4900.0
296238736.0,-823381893.0,5050.0
296238736.0,-823381893.0,5150.0
296238736.0,-823381893.0,5250.0
296238735.0,-823381892.0,5349.0
296238736.0,-823381902.0,5349.0
296238736.0,-823381902.0,5500.0
296238735.0,-823381902.0,5600.0
296238735.0,-823381902.0,5700.0
296238735.0,-823381902.0,5849.0
296238735.0,-823381911.0,5899.0
296238735.0,-823381911.0,6000.0
296238735.0,-823381911.0,6100.0
296238735.0,-823381910.0,6200.0
296238734.0,-823381910.0,6300.0
296238734.0,-823381910.0,6399.0
296238734.0,-823381920.0,6500.0
296238734.0,-823381920.0,6600.0
296238734.0,-823381920.0,6700.0
296238734.0,-823381919.0,6800.0
296238734.0,-823381919.0,6899.0
296238734.0,-823381930.0,7000.0
296238734.0,-823381930.0,7100.0
296238734.0,-823381930.0,7250.0
296238734.0,-823381930.0,7300.0
296238734.0,-823381930.0,7399.0
296238733.0,-823381940.0,7500.0
296238733.0,-823381940.0,7600.0
296238732.0,-823381941.0,7700.0
296238732.0,-823381941.0,7800.0
296238732.0,-823381941.0,7899.0
296238731.0,-823381949.0,8000.0
296238731.0,-823381948.0,8050.0
296238731.0,-823381948.0,8200.0
296238731.0,-823381948.0,8300.0
296238730.0,-823381947.0,8399.0
296238730.0,-823381954.0,8500.0
296238730.0,-823381953.0,8600.0
296238730.0,-823381953.0,8700.0
296238730.0,-823381952.0,8800.0
296238730.0,-823381951.0,8899.0
296238730.0,-823381966.0,9000.0
296238730.0,-823381966.0,9100.0
296238729.0,-823381966.0,9200.0
296238729.0,-823381966.0,9300.0
296238729.0,-823381967.0,9399.0
296238731.0,-823381973.0,9500.0
296238731.0,-823381973.0,9600.0
296238730.0,-823381973.0,9750.0
296238730.0,-823381973.0,9800.0
296238730.0,-823381972.0,9899.0
296238730.0,-823381984.0,10000.0
296238730.0,-823381984.0,10100.0
296238730.0,-823381985.0,10250.0
296238729.0,-823381985.0,10349.0
296238729.0,-823381996.0,10399.0
296238729.0,-823381996.0,10550.0
296238729.0,-823381996.0,10600.0
296238729.0,-823381996.0,10750.0
296238728.0,-823381996.0,10849.0
296238728.0,-823382004.0,10950.0
296238728.0,-823382004.0,11050.0
296238727.0,-823382004.0,11100.0
296238727.0,-823382004.0,11250.0
296238727.0,-823382003.0,11349.0
296238726.0,-823382014.0,11450.0
296238726.0,-823382014.0,11550.0
296238725.0,-823382015.0,11600.0
296238725.0,-823382015.0,11750.0
296238725.0,-823382015.0,11849.0
296238726.0,-823382029.0,11950.0
296238725.0,-823382031.0,12050.0
296238725.0,-823382032.0,12150.0
296238725.0,-823382033.0,12250.0
296238724.0,-823382034.0,12349.0
296238724.0,-823382035.0,12450.0
296238724.0,-823382035.0,12550.0
296238724.0,-823382035.0,12600.0
296238724.0,-823382035.0,12750.0
296238724.0,-823382035.0,12849.0
296238722.0,-823382041.0,12849.0
296238722.0,-823382041.0,13050.0
296238722.0,-823382041.0,13150.0
296238722.0,-823382041.0,13250.0
296238721.0,-823382041.0,13349.0
296238720.0,-823382049.0,13450.0
296238719.0,-823382049.0,13550.0
296238719.0,-823382049.0,13600.0
296238719.0,-823382049.0,13750.0
296238719.0,-823382049.0,13849.0
296238716.0,-823382054.0,13950.0
296238716.0,-823382054.0,14050.0
296238716.0,-823382054.0,14100.0
296238716.0,-823382054.0,14250.0
296238716.0,-823382054.0,14349.0
296238715.0,-823382059.0,14450.0
296238715.0,-823382059.0,14550.0
296238715.0,-823382059.0,14650.0
296238715.0,-823382059.0,14750.0
296238715.0,-823382058.0,14849.0
296238713.0,-823382065.0,14950.0
296238713.0,-823382065.0,15050.0
296238713.0,-823382065.0,15150.0
296238713.0,-823382065.0,15250.0
296238713.0,-823382065.0,15349.0
296238711.0,-823382073.0,15450.0
296238711.0,-823382073.0,15550.0
296238711.0,-823382074.0,15650.0
296238711.0,-823382074.0,15800.0
296238711.0,-823382074.0,15899.0
296238709.0,-823382079.0,16000.0
296238709.0,-823382079.0,16100.0
296238708.0,-823382079.0,16200.0
296238708.0,-823382079.0,16300.0
296238708.0,-823382079.0,16399.0
296238708.0,-823382083.0,16500.0
296238708.0,-823382083.0,16600.0
296238708.0,-823382083.0,16750.0
296238708.0,-823382083.0,16800.0
296238708.0,-823382083.0,16950.0
296238707.0,-823382086.0,17050.0
296238707.0,-823382086.0,17100.0
296238707.0,-823382086.0,17250.0
296238707.0,-823382086.0,17349.0
296238708.0,-823382090.0,17450.0
296238708.0,-823382091.0,17500.0
296238708.0,-823382091.0,17600.0
296238708.0,-823382091.0,17700.0
296238708.0,-823382091.0,17849.0
296238713.0,-823382089.0,17899.0
296238713.0,-823382089.0,18000.0
296238713.0,-823382089.0,18100.0
296238713.0,-823382089.0,18200.0
296238713.0,-823382089.0,18300.0
296238713.0,-823382089.0,18349.0
296238719.0,-823382090.0,18500.0
296238719.0,-823382091.0,18600.0
296238719.0,-823382091.0,18700.0
296238719.0,-823382091.0,18800.0
296238719.0,-823382092.0,18899.0
296238724.0,-823382091.0,19050.0
296238724.0,-823382092.0,19150.0
296238724.0,-823382092.0,19250.0
296238724.0,-823382093.0,19300.0
296238724.0,-823382093.0,19399.0
296238728.0,-823382086.0,19500.0
296238728.0,-823382086.0,19600.0
296238728.0,-823382086.0,19700.0
296238728.0,-823382086.0,19800.0
296238728.0,-823382086.0,19899.0
296238732.0,-823382083.0,20000.0
296238732.0,-823382083.0,20100.0
296238732.0,-823382083.0,20200.0
296238732.0,-823382083.0,20300.0
296238732.0,-823382083.0,20399.0
296238736.0,-823382080.0,20500.0
296238736.0,-823382080.0,20600.0
296238736.0,-823382080.0,20700.0
296238736.0,-823382080.0,20800.0
296238736.0,-823382080.0,20899.0
296238738.0,-823382078.0,21000.0
296238738.0,-823382078.0,21100.0
296238738.0,-823382078.0,21200.0
296238738.0,-823382079.0,21300.0
296238738.0,-823382079.0,21399.0
296238741.0,-823382075.0,21500.0
296238741.0,-823382075.0,21600.0
296238741.0,-823382075.0,21750.0
296238741.0,-823382075.0,21849.0
296238743.0,-823382074.0,21899.0
296238743.0,-823382074.0,22000.0
296238743.0,-823382074.0,22100.0
296238743.0,-823382074.0,22200.0
296238743.0,-823382074.0,22300.0
296238743.0,-823382074.0,22399.0
296238744.0,-823382071.0,22600.0
296238744.0,-823382071.0,22700.0
296238744.0,-823382071.0,22800.0
296238744.0,-823382071.0,22899.0
296238746.0,-823382069.0,23000.0
296238746.0,-823382069.0,23100.0
296238746.0,-823382069.0,23200.0
296238746.0,-823382069.0,23349.0
296238746.0,-823382067.0,23399.0
296238746.0,-823382067.0,23500.0
296238746.0,-823382067.0,23600.0
296238746.0,-823382067.0,23750.0
296238746.0,-823382067.0,23800.0
296238746.0,-823382067.0,23899.0
296238746.0,-823382068.0,24000.0
296238746.0,-823382069.0,24100.0
296238746.0,-823382069.0,24250.0
296238746.0,-823382069.0,24349.0
296238745.0,-823382067.0,24450.0
296238745.0,-823382067.0,24600.0
296238745.0,-823382066.0,24700.0
296238745.0,-823382066.0,24800.0
296238745.0,-823382066.0,24899.0
296238743.0,-823382067.0,25000.0
296238743.0,-823382067.0,25100.0
296238743.0,-823382067.0,25250.0
296238743.0,-823382067.0,25300.0
296238743.0,-823382067.0,25399.0
296238742.0,-823382065.0,25500.0
296238742.0,-823382065.0,25600.0
296238742.0,-823382065.0,25700.0
296238742.0,-823382065.0,25800.0
296238742.0,-823382065.0,25899.0
296238741.0,-823382067.0,26000.0
296238741.0,-823382067.0,26100.0
296238741.0,-823382067.0,26250.0
296238741.0,-823382068.0,26300.0
296238741.0,-823382068.0,26399.0
296238740.0,-823382061.0,26500.0
296238740.0,-823382060.0,26600.0
296238740.0,-823382059.0,26700.0
296238740.0,-823382059.0,26849.0
296238738.0,-823382061.0,26899.0
296238738.0,-823382061.0,27000.0
296238738.0,-823382061.0,27100.0
296238737.0,-823382061.0,27200.0
296238737.0,-823382062.0,27300.0
296238737.0,-823382062.0,27399.0
296238736.0,-823382057.0,27500.0
296238736.0,-823382057.0,27600.0
