latitude,longitude,Dsecond
296531346.0,-823388111.0,29150.0
296531377.0,-823388103.0,29250.0
296531406.0,-823388096.0,29349.0
296531437.0,-823388090.0,29450.0
296531468.0,-823388085.0,29550.0
296531499.0,-823388081.0,29650.0
296531530.0,-823388079.0,29750.0
296531535.0,-823388063.0,29799.0
296531580.0,-823388058.0,29950.0
296531609.0,-823388055.0,30050.0
296531639.0,-823388053.0,30150.0
296531669.0,-823388052.0,30250.0
296531685.0,-823388046.0,30349.0
296531713.0,-823388043.0,30450.0
296531740.0,-823388041.0,30550.0
296531767.0,-823388040.0,30650.0
296531795.0,-823388039.0,30750.0
296531821.0,-823388032.0,30849.0
296531847.0,-823388030.0,30950.0
296531874.0,-823388028.0,31050.0
296531900.0,-823388026.0,31150.0
296531927.0,-823388024.0,31250.0
296531946.0,-823388024.0,31349.0
296531971.0,-823388022.0,31450.0
296531996.0,-823388019.0,31550.0
296532021.0,-823388017.0,31650.0
296532046.0,-823388015.0,31750.0
296532069.0,-823388009.0,31849.0
296532093.0,-823388006.0,31950.0
296532117.0,-823388002.0,32050.0
296532142.0,-823387999.0,32150.0
296532166.0,-823387995.0,32250.0
296532189.0,-823387987.0,32349.0
296532213.0,-823387982.0,32450.0
296532237.0,-823387976.0,32550.0
296532260.0,-823387970.0,32650.0
296532284.0,-823387964.0,32750.0
296532294.0,-823387953.0,32799.0
296532328.0,-823387940.0,32950.0
296532350.0,-823387930.0,33050.0
296532372.0,-823387920.0,33150.0
296532393.0,-823387910.0,33250.0
296532413.0,-823387896.0,33349.0
296532434.0,-823387884.0,33450.0
296532454.0,-823387871.0,33550.0
296532474.0,-823387858.0,33650.0
296532494.0,-823387844.0,33750.0
296532520.0,-823387837.0,33849.0
296532540.0,-823387824.0,33950.0
296532560.0,-823387810.0,34050.0
296532589.0,-823387788.0,34200.0
296532601.0,-823387777.0,34299.0
296532610.0,-823387770.0,34349.0
296532627.0,-823387754.0,34450.0
296532644.0,-823387738.0,34550.0
296532661.0,-823387722.0,34650.0
296532677.0,-823387705.0,34750.0
296532687.0,-823387693.0,34849.0
296532701.0,-823387676.0,34950.0
296532715.0,-823387658.0,35050.0
296532728.0,-823387640.0,35150.0
296532741.0,-823387621.0,35250.0
296532751.0,-823387611.0,35349.0
296532762.0,-823387592.0,35450.0
296532773.0,-823387574.0,35550.0
296532783.0,-823387554.0,35650.0
296532792.0,-823387535.0,35750.0
296532797.0,-823387533.0,35799.0
296532810.0,-823387505.0,35950.0
296532818.0,-823387485.0,36050.0
296532826.0,-823387465.0,36150.0
296532833.0,-823387445.0,36250.0
296532834.0,-823387423.0,36349.0
296532838.0,-823387402.0,36450.0
296532841.0,-823387380.0,36550.0
296532845.0,-823387348.0,36700.0
296532845.0,-823387337.0,36750.0
296532863.0,-823387315.0,36849.0
296532866.0,-823387293.0,36950.0
296532869.0,-823387271.0,37050.0
296532872.0,-823387248.0,37150.0
296532874.0,-823387226.0,37250.0
296532873.0,-823387191.0,37349.0
296532873.0,-823387166.0,37450.0
296532873.0,-823387141.0,37550.0
296532872.0,-823387116.0,37650.0
296532870.0,-823387092.0,37750.0
296532896.0,-823387066.0,37849.0
296532899.0,-823387041.0,37950.0
296532902.0,-823387015.0,38050.0
296532905.0,-823386990.0,38150.0
296532908.0,-823386965.0,38250.0
296532885.0,-823386924.0,38349.0
296532882.0,-823386896.0,38450.0
296532878.0,-823386869.0,38550.0
296532874.0,-823386841.0,38650.0
296532868.0,-823386814.0,38750.0
296532892.0,-823386772.0,38849.0
296532892.0,-823386742.0,38950.0
296532891.0,-823386697.0,39100.0
296532891.0,-823386667.0,39200.0
296532891.0,-823386652.0,39250.0
296532899.0,-823386594.0,39399.0
296532901.0,-823386561.0,39500.0
296532903.0,-823386529.0,39600.0
296532904.0,-823386497.0,39700.0
296532906.0,-823386465.0,39800.0
296532899.0,-823386435.0,39849.0
296532899.0,-823386401.0,39950.0
296532900.0,-823386367.0,40050.0
296532900.0,-823386315.0,40200.0
296532899.0,-823386281.0,40300.0
296532904.0,-823386246.0,40349.0
296532905.0,-823386211.0,40450.0
296532906.0,-823386175.0,40550.0
296532907.0,-823386139.0,40650.0
296532908.0,-823386104.0,40750.0
296532920.0,-823386058.0,40849.0
296532923.0,-823386022.0,40950.0
296532927.0,-823385985.0,41050.0
296532931.0,-823385949.0,41150.0
296532935.0,-823385913.0,41250.0
296532945.0,-823385859.0,41399.0
296532951.0,-823385824.0,41500.0
296532954.0,-823385806.0,41550.0
296532960.0,-823385771.0,41650.0
296532966.0,-823385736.0,41750.0
296532974.0,-823385717.0,41849.0
296532982.0,-823385686.0,41950.0
296532990.0,-823385655.0,42050.0
296532999.0,-823385624.0,42150.0
296533012.0,-823385577.0,42300.0
296533001.0,-823385583.0,42349.0
296533009.0,-823385556.0,42450.0
296533017.0,-823385529.0,42550.0
296533025.0,-823385503.0,42650.0
296533033.0,-823385477.0,42750.0
296533043.0,-823385472.0,42849.0
296533053.0,-823385450.0,42950.0
296533063.0,-823385428.0,43050.0
296533074.0,-823385407.0,43150.0
296533085.0,-823385386.0,43250.0
296533086.0,-823385381.0,43349.0
296533097.0,-823385364.0,43450.0
296533107.0,-823385347.0,43550.0
296533118.0,-823385330.0,43650.0
296533130.0,-823385314.0,43750.0
296533154.0,-823385290.0,43899.0
296533167.0,-823385275.0,44000.0
296533181.0,-823385261.0,44100.0
296533195.0,-823385248.0,44200.0
296533203.0,-823385242.0,44250.0
296533232.0,-823385222.0,44399.0
296533248.0,-823385210.0,44500.0
296533256.0,-823385205.0,44550.0
296533273.0,-823385195.0,44650.0
296533299.0,-823385180.0,44800.0
296533320.0,-823385155.0,44899.0
296533338.0,-823385144.0,45000.0
296533347.0,-823385138.0,45050.0
296533365.0,-823385128.0,45150.0
296533416.0,-823385115.0,45299.0
296533428.0,-823385111.0,45349.0
296533451.0,-823385104.0,45450.0
296533474.0,-823385098.0,45550.0
296533497.0,-823385093.0,45650.0
296533521.0,-823385089.0,45750.0
296533558.0,-823385068.0,45849.0
296533583.0,-823385063.0,45950.0
296533609.0,-823385057.0,46050.0
296533635.0,-823385053.0,46150.0
296533678.0,-823385036.0,46299.0
296533691.0,-823385033.0,46349.0
296533717.0,-823385028.0,46450.0
296533744.0,-823385023.0,46550.0
296533771.0,-823385019.0,46650.0
296533798.0,-823385016.0,46750.0
296533826.0,-823385004.0,46849.0
296533853.0,-823384999.0,46950.0
296533880.0,-823384994.0,47050.0
296533920.0,-823384988.0,47200.0
296533934.0,-823384986.0,47250.0
296533965.0,-823384998.0,47349.0
296533992.0,-823384998.0,47450.0
296534020.0,-823384998.0,47550.0
296534061.0,-823385000.0,47700.0
296534088.0,-823384973.0,47799.0
296534115.0,-823384969.0,47899.0
296534128.0,-823384967.0,47950.0
296534155.0,-823384963.0,48050.0
296534182.0,-823384958.0,48150.0
296534223.0,-823384952.0,48300.0
296534246.0,-823384936.0,48399.0
296534259.0,-823384932.0,48450.0
296534285.0,-823384925.0,48550.0
296534324.0,-823384913.0,48700.0
296534337.0,-823384909.0,48799.0
296501985.0,-823392107.0,28024.0
296534349.0,-823384905.0,48849.0
296534373.0,-823384897.0,48950.0
296534407.0,-823384885.0,49100.0
296534431.0,-823384876.0,49200.0
296534444.0,-823384889.0,49299.0
296534465.0,-823384885.0,49399.0
296534476.0,-823384883.0,49450.0
296534507.0,-823384877.0,49600.0
296534539.0,-823384872.0,49750.0
296534544.0,-823384884.0,49849.0
296534562.0,-823384884.0,49950.0
296534580.0,-823384885.0,50050.0
296534599.0,-823384886.0,50150.0
296502800.0,-823394499.0,29515.0
296502311.0,-823392089.0,29518.0
296534617.0,-823384887.0,50250.0
296534621.0,-823384895.0,50349.0
296534636.0,-823384899.0,50450.0
296534652.0,-823384904.0,50550.0
296534668.0,-823384909.0,50650.0
296534683.0,-823384915.0,50750.0
296534700.0,-823384927.0,50849.0
296534708.0,-823384931.0,50899.0
296534737.0,-823384950.0,51100.0
296534758.0,-823384966.0,51250.0
296534781.0,-823384969.0,51349.0
296534796.0,-823384978.0,51450.0
296534812.0,-823384988.0,51550.0
296534827.0,-823384998.0,51650.0
296534842.0,-823385009.0,51750.0
296534847.0,-823385043.0,51849.0
296534859.0,-823385060.0,51950.0
296534870.0,-823385077.0,52050.0
296534875.0,-823385086.0,52100.0
296534890.0,-823385113.0,52250.0
296534912.0,-823385124.0,52349.0
296534924.0,-823385142.0,52450.0
296534934.0,-823385160.0,52550.0
296534944.0,-823385179.0,52650.0
296534954.0,-823385198.0,52750.0
296534954.0,-823385202.0,52849.0
296534963.0,-823385218.0,52950.0
296534971.0,-823385233.0,53050.0
296534979.0,-823385249.0,53150.0
296502800.0,-823394499.0,32515.0
296534987.0,-823385265.0,53250.0
296534969.0,-823385296.0,53349.0
296534969.0,-823385315.0,53450.0
296534969.0,-823385334.0,53550.0
296534967.0,-823385353.0,53650.0
296534966.0,-823385362.0,53700.0
296534981.0,-823385375.0,53849.0
296534981.0,-823385392.0,53950.0
296534980.0,-823385408.0,54050.0
296534979.0,-823385425.0,54150.0
296534977.0,-823385442.0,54250.0
296534990.0,-823385445.0,54349.0
296534991.0,-823385460.0,54450.0
296534991.0,-823385474.0,54550.0
296534991.0,-823385489.0,54650.0
296534991.0,-823385504.0,54750.0
296534986.0,-823385511.0,54849.0
296534985.0,-823385524.0,54950.0
296534983.0,-823385537.0,55050.0
296534983.0,-823385543.0,55100.0
296534981.0,-823385562.0,55250.0
296534969.0,-823385578.0,55349.0
296534967.0,-823385589.0,55450.0
296534964.0,-823385600.0,55550.0
296534961.0,-823385610.0,55650.0
296534958.0,-823385621.0,55750.0
296534959.0,-823385621.0,55849.0
296534955.0,-823385630.0,55950.0
296534952.0,-823385639.0,56050.0
296534948.0,-823385648.0,56150.0
296534944.0,-823385657.0,56250.0
296534955.0,-823385647.0,56349.0
296534953.0,-823385651.0,56399.0
296534950.0,-823385661.0,56550.0
296534947.0,-823385668.0,56650.0
296534944.0,-823385674.0,56750.0
296534949.0,-823385670.0,56849.0
296534948.0,-823385676.0,56950.0
296534946.0,-823385681.0,57050.0
296534944.0,-823385687.0,57150.0
296534942.0,-823385692.0,57250.0
296534946.0,-823385683.0,57349.0
296534945.0,-823385687.0,57450.0
296534944.0,-823385691.0,57550.0
296534944.0,-823385695.0,57650.0
296534943.0,-823385699.0,57750.0
296534943.0,-823385685.0,57849.0
296534943.0,-823385686.0,57950.0
296534942.0,-823385687.0,58050.0
296534941.0,-823385688.0,58150.0
296534940.0,-823385689.0,58250.0
296534943.0,-823385687.0,58349.0
296534943.0,-823385688.0,58450.0
296534943.0,-823385688.0,58550.0
296534942.0,-823385690.0,58750.0
296534944.0,-823385685.0,58849.0
296534944.0,-823385685.0,58950.0
296534944.0,-823385686.0,59050.0
296534944.0,-823385686.0,59150.0
296534943.0,-823385686.0,59250.0
296534945.0,-823385685.0,59349.0
296534945.0,-823385686.0,59399.0
296534944.0,-823385686.0,59550.0
296534944.0,-823385686.0,59650.0
296534944.0,-823385686.0,59750.0
296534945.0,-823385688.0,59849.0
296534945.0,-823385688.0,59950.0
296534945.0,-823385688.0,50.0
